Name	ID pre-miRNA
hsa-let-7a-5p	MI0000060
hsa-let-7a-3p	MI0000060
hsa-let-7a-2-3p	MI0000061
hsa-let-7a-5p	MI0000061
hsa-let-7a-5p	MI0000062
hsa-let-7a-3p	MI0000062
hsa-let-7b-5p	MI0000063
hsa-let-7b-3p	MI0000063
hsa-let-7c	MI0000064
hsa-let-7d-5p	MI0000065
hsa-let-7d-3p	MI0000065
hsa-let-7e-5p	MI0000066
hsa-let-7e-3p	MI0000066
hsa-let-7f-5p	MI0000067
hsa-let-7f-1-3p	MI0000067
hsa-let-7f-2-3p	MI0000068
hsa-let-7f-5p	MI0000068
hsa-miR-15a-5p	MI0000069
hsa-miR-15a-3p	MI0000069
hsa-miR-16-5p	MI0000070
hsa-miR-16-1-3p	MI0000070
hsa-miR-17-5p	MI0000071
hsa-miR-17-3p	MI0000071
hsa-miR-18a-5p	MI0000072
hsa-miR-18a-3p	MI0000072
hsa-miR-19a-5p	MI0000073
hsa-miR-19a-3p	MI0000073
hsa-miR-19b-1-5p	MI0000074
hsa-miR-19b-3p	MI0000074
hsa-miR-19b-2-5p	MI0000075
hsa-miR-19b-3p	MI0000075
hsa-miR-20a-5p	MI0000076
hsa-miR-20a-3p	MI0000076
hsa-miR-21-5p	MI0000077
hsa-miR-21-3p	MI0000077
hsa-miR-22-5p	MI0000078
hsa-miR-22-3p	MI0000078
hsa-miR-23a-5p	MI0000079
hsa-miR-23a-3p	MI0000079
hsa-miR-24-1-5p	MI0000080
hsa-miR-24-3p	MI0000080
hsa-miR-24-2-5p	MI0000081
hsa-miR-24-3p	MI0000081
hsa-miR-25-5p	MI0000082
hsa-miR-25-3p	MI0000082
hsa-miR-26a-5p	MI0000083
hsa-miR-26a-1-3p	MI0000083
hsa-miR-26b-5p	MI0000084
hsa-miR-26b-3p	MI0000084
hsa-miR-27a-5p	MI0000085
hsa-miR-27a-3p	MI0000085
hsa-miR-28-5p	MI0000086
hsa-miR-28-3p	MI0000086
hsa-miR-29a-5p	MI0000087
hsa-miR-29a-3p	MI0000087
hsa-miR-30a-5p	MI0000088
hsa-miR-30a-3p	MI0000088
hsa-miR-31-5p	MI0000089
hsa-miR-31-3p	MI0000089
